title,placeUrl,category,address,LGA
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b8bdf999b1e3d:0xc5d3e283fb2eee27!8m2!3d6.4586284!4d3.3398813!16s%2Fg%2F1tfn5c4j!19sChIJPR6bmd-LOxARJ-4u-4Pi08U,Bus stop,"Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ajeromi-Ifelodun
Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103b89802971f4ab:0xe5d3d5496a31a56!8m2!3d6.4392974!4d3.3367458!16s%2Fg%2F1vp5_0t6!19sChIJq_RxKYCJOxARVhqjllQ9XQ4,Bus stop,"Egbaiyelo St, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ajeromi-Ifelodun
New Road Bus Stop,https://www.google.com/maps/place/New+Road+Bus+Stop/data=!4m7!3m6!1s0x103b8bd76405a691:0x2444728d8c55d965!8m2!3d6.4497399!4d3.3423221!16s%2Fg%2F11g_5l06v!19sChIJkaYFZNeLOxARZdlVjI1yRCQ,Bus stop,"Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ajeromi-Ifelodun
Greenland Bus Stop,https://www.google.com/maps/place/Greenland+Bus+Stop/data=!4m7!3m6!1s0x103b8bd75608bc4f:0x743effc92477ddba!8m2!3d6.4500491!4d3.3435988!16s%2Fg%2F11h05d1pq!19sChIJT7wIVteLOxARut13JMn_PnQ,Bus stop,"Gbadesere Street, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ajeromi-Ifelodun
Cementry Road Bus Stop,https://www.google.com/maps/place/Cementry+Road+Bus+Stop/data=!4m7!3m6!1s0x103b8bdc0416f781:0xb5983193e90b1bcb!8m2!3d6.4557713!4d3.3443807!16s%2Fg%2F1ptww9hdr!19sChIJgfcWBNyLOxARyxsL6ZMxmLU,Bus stop,"Baale Street, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ajeromi-Ifelodun
Babani Bus Stop,https://www.google.com/maps/place/Babani+Bus+Stop/data=!4m7!3m6!1s0x103b8bde92bf935d:0x5c43cca7fca866d2!8m2!3d6.457336!4d3.343!16s%2Fg%2F1hhwdvwwg!19sChIJXZO_kt6LOxAR0mao_KfMQ1w,Bus stop,"Babani St, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Ajeromi-Ifelodun
E.c.n junction,https://www.google.com/maps/place/E.c.n+junction/data=!4m7!3m6!1s0x103b89609aed3cb7:0x57bdbd81fea1bc57!8m2!3d6.4602088!4d3.3356327!16s%2Fg%2F1q663lngx!19sChIJtzztmmCJOxARV7yh_oG9vVc,Bus stop,"Ojo Rd, Alaba 102103, Lagos, Nigeria",Ajeromi-Ifelodun
Agbo Bus Stop,https://www.google.com/maps/place/Agbo+Bus+Stop/data=!4m7!3m6!1s0x103b8bbc16112d4b:0x171360477f451f78!8m2!3d6.45655!4d3.36497!16s%2Fg%2F11pw50cv0s!19sChIJSy0RFryLOxAReB9Ff0dgExc,Bus stop,"Ijora 102272, Ikeja, Lagos, Nigeria",Ajeromi-Ifelodun
Ajegunle Boundary,https://www.google.com/maps/place/Ajegunle+Boundary/data=!4m7!3m6!1s0x103b8bc49acd58c5:0x60d7ec8002224671!8m2!3d6.454826!4d3.350853!16s%2Fg%2F1hhvz0wlh!19sChIJxVjNmsSLOxARcUYiAoDs12A,Bus stop,"Ajegunle 102103, Ikeja, Lagos, Nigeria",Ajeromi-Ifelodun
Mile 2 Bus Stop,https://www.google.com/maps/place/Mile+2+Bus+Stop/data=!4m7!3m6!1s0x103b893e4a2ba18f:0xfea3ade36860ad36!8m2!3d6.462392!4d3.315932!16s%2Fg%2F1hhwgh29h!19sChIJj6ErSj6JOxARNq1gaOOto_4,Bus stop,"Amuwo Odofin Estate 102102, Ikeja, Lagos, Nigeria",Ajeromi-Ifelodun
Ijaiye Bus Stop,https://www.google.com/maps/place/Ijaiye+Bus+Stop/data=!4m7!3m6!1s0x103b8b734a251bd1:0x37e9b7cdfba9d820!8m2!3d6.4607575!4d3.3853977!16s%2Fg%2F1q62gl0wd!19sChIJ0RslSnOLOxARINip-8236Tc,Bus stop,"Ebute, Oke Arin St, Lagos Island, Lagos, Nigeria",Ajeromi-Ifelodun
Agunlejika Bus Stop,https://www.google.com/maps/place/Agunlejika+Bus+Stop/data=!4m7!3m6!1s0x103b8ebe386a2ec7:0x772ea85e18a583b4!8m2!3d6.5022929!4d3.3253437!16s%2Fg%2F1hhhf4p14!19sChIJxy5qOL6OOxARtIOlGF6oLnc,Bus stop,"2 Ogbomosho St, Surulere 101283, Lagos, Nigeria",Ajeromi-Ifelodun
